id,conference_id,year,title,pages,num_pages,session_h2,session_h3,main_track,,,,,,
1,1,2013,Aluminum: principled scenario exploration through minimality,NULL,0,NULL,NULL,1,,,,,,
2,1,2013,Counter play-out: executing unrealizable scenario-based specifications,NULL,0,NULL,NULL,1,,,,,,
3,1,2013,Unifying FSM-inference algorithms through declarative specification,NULL,0,NULL,NULL,1,,,,,,
4,1,2013,What good are strong specifications,NULL,0,NULL,NULL,1,,,,,,
5,1,2013,Feedback-directed unit test generation for C/C++ using concolic execution,NULL,0,NULL,NULL,1,,,,,,
6,1,2013,A learning-based method for combining testing techniques,NULL,0,NULL,NULL,1,,,,,,
7,1,2013,Human performance regression testing,NULL,0,NULL,NULL,1,,,,,,
8,1,2013,Guided test generation for web applications,NULL,0,NULL,NULL,1,,,,,,
9,1,2013,Managing non-functional uncertainty via model-driven adaptivity,NULL,0,NULL,NULL,1,,,,,,
10,1,2013,GuideArch: guiding the exploration of architectural solution space under uncertainty,NULL,0,NULL,NULL,1,,,,,,
11,1,2013,Coupling software architecture and human architecture for collaboration-aware system adaptation,NULL,0,NULL,NULL,1,,,,,,
12,1,2013,Learning revised models for planning in adaptive systems,NULL,0,NULL,NULL,1,,,,,,
13,1,2013,Detecting spurious counterexamples efficiently in abstract model checking,NULL,0,NULL,NULL,1,,,,,,
14,1,2013,Segmented symbolic analysis,NULL,0,NULL,NULL,1,,,,,,
15,1,2013,Explicating symbolic execution (xSymExe): an evidence-based verification framework,NULL,0,NULL,NULL,1,,,,,,
16,1,2013,Observable modified Condition/Decision coverage,NULL,0,NULL,NULL,1,,,,,,
17,1,2013,Creating a shared understanding of testing culture on a social coding site,NULL,0,NULL,NULL,1,,,,,,
18,1,2013,Billions and billions of constraints: whitebox fuzz testing in production,NULL,0,NULL,NULL,1,,,,,,
19,1,2013,Automatic synthesis of modular connectors via composition of protocol mediation patterns,NULL,0,NULL,NULL,1,,,,,,
20,1,2013,Robust reconfigurations of component assemblies,NULL,0,NULL,NULL,1,,,,,,
21,1,2013,Drag-and-drop refactoring: intuitive and efficient program transformation,NULL,0,NULL,NULL,1,,,,,,
22,1,2013,RERAN: timing- and touch-sensitive record and replay for Android,NULL,0,NULL,NULL,1,,,,,,
23,1,2013,Inferring likely mappings between APIs,NULL,0,NULL,NULL,1,,,,,,
24,1,2013,Estimating mobile application energy consumption using program analysis,NULL,0,NULL,NULL,1,,,,,,
25,1,2013,Comparing multi-point stride coverage and dataflow coverage,NULL,0,NULL,NULL,1,,,,,,
26,1,2013,Interaction-based test-suite minimization,NULL,0,NULL,NULL,1,,,,,,
27,1,2013,Bridging the gap between the total and additional test-case prioritization strategies,NULL,0,NULL,NULL,1,,,,,,
28,1,2013,Comparative causality: explaining the differences between executions,NULL,0,NULL,NULL,1,,,,,,
29,1,2013,Automatic testing of sequential and concurrent substitutability,NULL,0,NULL,NULL,1,,,,,,
30,1,2013,Data clone detection and visualization in spreadsheets,NULL,0,NULL,NULL,1,,,,,,
31,1,2013,Partition-based regression verification,NULL,0,NULL,NULL,1,,,,,,
32,1,2013,Automated diagnosis of software configuration errors,NULL,0,NULL,NULL,1,,,,,,
33,1,2013,Detecting deadlock in programs with data-centric synchronization,NULL,0,NULL,NULL,1,,,,,,
34,1,2013,Assisting developers of big data analytics applications when deploying on hadoop clouds,NULL,0,NULL,NULL,1,,,,,,
35,1,2013,Broken sets in software repository evolution,NULL,0,NULL,NULL,1,,,,,,
36,1,2013,Boa: a language and infrastructure for analyzing ultra-large-scale software repositories,NULL,0,NULL,NULL,1,,,,,,
